ID,Name,Cost_for_one,Cuisines,Rating
87,Sandwich Guru,150, Shake,4.1
88,Biryani Trip - Destination Hyderabad,150,Biryani,4.3
88,Biryani Trip - Destination Hyderabad,150, Mughlai,4.3
88,Biryani Trip - Destination Hyderabad,150, Hyderabadi,4.3
89,Potful - Claypot Biryanis,150,Biryani,4.2
89,Potful - Claypot Biryanis,150, Kebab,4.2
89,Potful - Claypot Biryanis,150, Mughlai,4.2
89,Potful - Claypot Biryanis,150, North Indian,4.2
89,Potful - Claypot Biryanis,150, Desserts,4.2
90,Meghduth Biryanis,150,Biryani,3.7
90,Meghduth Biryanis,150, South Indian,3.7
91,T’s 21 Spice Biryani,150,Biryani,4
91,T’s 21 Spice Biryani,150, Andhra,4
91,T’s 21 Spice Biryani,150,Biryani,4
91,T’s 21 Spice Biryani,150, Andhra,4
558,T’s 21 Spice Biryani,200,Biryani,4
558,T’s 21 Spice Biryani,200, Andhra,4
558,T’s 21 Spice Biryani,200,Biryani,4
558,T’s 21 Spice Biryani,200, Andhra,4
92,Sangam Sweets,150,Mithai,4.4
92,Sangam Sweets,150, Street Food,4.4
92,Sangam Sweets,150, Fast Food,4.4
93,IDC Kitchen,100,South Indian,4.1
93,IDC Kitchen,100, Beverages,4.1
94,Juice Junction,100,Juices,4.2
94,Juice Junction,100, Beverages,4.2
94,Juice Junction,100, Sandwich,4.2
94,Juice Junction,100, Fast Food,4.2
94,Juice Junction,100, Shake,4.2
94,Juice Junction,100, Rolls,4.2
94,Juice Junction,100, Healthy Food,4.2
94,Juice Junction,100, Street Food,4.2
94,Juice Junction,100,Beverages,4.2
94,Juice Junction,100, Juices,4.2
94,Juice Junction,100, Fast Food,4.2
94,Juice Junction,100, Shake,4.2
314,Juice Junction,150,Juices,4.2
314,Juice Junction,150, Beverages,4.2
314,Juice Junction,150, Sandwich,4.2
314,Juice Junction,150, Fast Food,4.2
314,Juice Junction,150, Shake,4.2
314,Juice Junction,150, Rolls,4.2
314,Juice Junction,150, Healthy Food,4.2
314,Juice Junction,150, Street Food,4.2
314,Juice Junction,150,Beverages,4.2
314,Juice Junction,150, Juices,4.2
314,Juice Junction,150, Fast Food,4.2
314,Juice Junction,150, Shake,4.2
95,WOW! China,100,Chinese,3.9
95,WOW! China,100, Rolls,3.9
95,WOW! China,100, Seafood,3.9
95,WOW! China,100, Desserts,3.9
95,WOW! China,100, Shake,3.9
95,WOW! China,100, Sichuan,3.9
95,WOW! China,100,Chinese,3.9
95,WOW! China,100, Asian,3.9
95,WOW! China,100, Sichuan,3.9
392,WOW! China,150,Chinese,3.8
392,WOW! China,150, Rolls,3.8
392,WOW! China,150, Seafood,3.8
392,WOW! China,150, Desserts,3.8
392,WOW! China,150, Shake,3.8
392,WOW! China,150, Sichuan,3.8
392,WOW! China,150,Chinese,3.8
392,WOW! China,150, Asian,3.8
392,WOW! China,150, Sichuan,3.8
96,Anjappar,100,South Indian,4
96,Anjappar,100, Chettinad,4
96,Anjappar,100, Biryani,4
96,Anjappar,100, Seafood,4
96,Anjappar,100, Chinese,4
96,Anjappar,100, North Indian,4
96,Anjappar,100, Desserts,4
96,Anjappar,100, Beverages,4
97,Biryani By Kilo,100,Biryani,4.2
97,Biryani By Kilo,100, Hyderabadi,4.2
97,Biryani By Kilo,100, North Indian,4.2
97,Biryani By Kilo,100, Kebab,4.2
97,Biryani By Kilo,100, Mughlai,4.2
97,Biryani By Kilo,100, Desserts,4.2
98,Biggies Burger,100,Fast Food,4.1
98,Biggies Burger,100, Burger,4.1
98,Biggies Burger,100, Beverages,4.1
99,Biryani Blues,100,Biryani,4.1
99,Biryani Blues,100, Kebab,4.1
99,Biryani Blues,100, Hyderabadi,4.1
100,Third Wave Coffee,100,Cafe,4.2
100,Third Wave Coffee,100, Coffee,4.2
100,Third Wave Coffee,100, Fast Food,4.2
100,Third Wave Coffee,100, Beverages,4.2
101,Keventers - Milkshakes & Desserts,100,Shake,4.3
101,Keventers - Milkshakes & Desserts,100, Beverages,4.3
101,Keventers - Milkshakes & Desserts,100, Ice Cream,4.3
102,Great Indian Khichdi by EatFit,100,Healthy Food,4.1
102,Great Indian Khichdi by EatFit,100, North Indian,4.1
102,Great Indian Khichdi by EatFit,100, Ice Cream,4.1
102,Great Indian Khichdi by EatFit,100, Desserts,4.1
102,Great Indian Khichdi by EatFit,100, Beverages,4.1
103,NH1 Bowls - Highway To North,100,North Indian,4.3
103,NH1 Bowls - Highway To North,100, Biryani,4.3
103,NH1 Bowls - Highway To North,100, Desserts,4.3
104,Cafe Coffee Day,100,Cafe,3.8
104,Cafe Coffee Day,100, Fast Food,3.8
104,Cafe Coffee Day,100, Coffee,3.8
104,Cafe Coffee Day,100, Beverages,3.8
104,Cafe Coffee Day,100, Desserts,3.8
105,Madurai Idly Shop,100,South Indian,3.8
106,Big Bowl Company,100,North Indian,3.7
106,Big Bowl Company,100, Chinese,3.7
106,Big Bowl Company,100, Biryani,3.7
106,Big Bowl Company,100, Fast Food,3.7
106,Big Bowl Company,100, Momos,3.7
106,Big Bowl Company,100, Sichuan,3.7
107,Karnataka Bhel House,100,Street Food,4.4
107,Karnataka Bhel House,100, Ice Cream,4.4
108,Barbeque Nation,100,Street Food,3.8
108,Barbeque Nation,100, Mughlai,3.8
108,Barbeque Nation,100, Biryani,3.8
108,Barbeque Nation,100, North Indian,3.8
